Physician_ID|Name|Date_of_Joining|Specialty|Designation|Experience|IsHod
2001|Dr. John Smith|2010-05-15|Cardiology|Associate Professor|11|No
2002|Dr. Alice Johnson|2012-09-20|Pediatrics|Department Head|14|Yes
2003|Dr. Michael Williams|2008-11-08|Orthopedics|Surgeon|13|No
2004|Dr. Emily Brown|2015-06-30|Dermatology|Registrar|6|No
2005|Dr. Robert Miller|2007-02-25|Oncology|Department Head|14|Yes
2006|Dr. Sophia Davis|2011-09-18|Neurology|Surgeon|10|No
2007|Dr. James Garcia|2014-12-05|Gastroenterology|Senior Medical Officer|7|No
2008|Dr. Lily Martinez|2009-07-08|Obstetrics and Gynecology|Surgeon|12|No
2009|Dr. Daniel Brown|2018-04-12|Surgery|Registrar|3|No
2010|Dr. Ava Lee|2016-01-03|Ophthalmology|Senior Medical Officer|5|No
2001|Dr. John Smith|2010-05-15|Cardiology|Associate Professor|11|No
2002|Dr. Alice Johnson|2012-09-20|Pediatrics|Department Head|14|Yes
2003|Dr. Michael Williams|2008-11-08|Orthopedics|Surgeon|13|No
2004|Dr. Emily Brown|2015-06-30|Dermatology|Registrar|6|No
2005|Dr. Robert Miller|2007-02-25|Oncology|Department Head|14|Yes
