Physician_ID,Name,Date_of_Joining,Specialty,Designation,Experience
2001,Dr. John Smith,2010-05-15,Cardiology,Associate Professor,11
2002,Dr. Alice Johnson,2012-09-20,Pediatrics,Department Head,14
2003,Dr. Michael Williams,2008-11-08,Orthopedics,Surgeon,13
2004,Dr. Emily Brown,2015-06-30,Dermatology,Registrar,6
2005,Dr. Robert Miller,2007-02-25,Oncology,Department Head,14
2006,Dr. Sophia Davis,2011-09-18,Neurology,Surgeon,10
2007,Dr. James Garcia,2014-12-05,Gastroenterology,Senior Medical Officer,7
2008,Dr. Lily Martinez,2009-07-08,Obstetrics and Gynecology,Surgeon,12
2009,Dr. Daniel Brown,2018-04-12,Surgery,Registrar,3
2010,Dr. Ava Lee,2016-01-03,Ophthalmology,Senior Medical Officer,5
2011,Dr. William Johnson,2013-08-22,Cardiology,Surgeon,8
2012,Dr. Emma Davis,2017-12-10,Dermatology,Registrar,4
2013,Dr. Noah Wilson,2019-05-14,Orthopedics,Registrar,2
2014,Dr. Olivia Brown,2018-10-29,Neurology,Surgeon,3
2015,Dr. James Miller,2016-02-09,Pediatrics,Senior Medical Officer,5
2016,Dr. Sophia Martinez,2011-07-21,Gastroenterology,Surgeon,10
2017,Dr. Michael Johnson,2020-03-05,Surgery,Medical Practitioner,1
2018,Dr. Ava Williams,2014-09-18,Obstetrics and Gynecology,Department Head,14
2019,Dr. William Garcia,2008-06-17,Oncology,Surgeon,9
2020,Dr. Olivia Anderson,2015-11-03,Ophthalmology,Registrar,6
